1,12,11.15672249,10.58954367
2,11.15672249,10.58954367,10.25710997
3,10.58954367,10.25710997,10.1249031
4,10.25710997,10.1249031,10.16397804
5,10.1249031,10.16397804,10.34968652
6,10.16397804,10.34968652,10.66044796
7,10.34968652,10.66044796,11.07659113
8,10.66044796,11.07659113,11.57927743
9,11.07659113,11.57927743,12.14952196
10,11.57927743,12.14952196,12.76734437
11,12.14952196,12.76734437,13.41110377
12,12.76734437,13.41110377,14.05709504
13,13.41110377,14.05709504,14.67950019
14,14.05709504,14.67950019,15.25078763
15,14.67950019,15.25078763,15.74262333
16,15.25078763,15.74262333,16.12729417
17,15.74262333,16.12729417,16.37954628
18,16.12729417,16.37954628,16.47862836
19,16.37954628,16.47862836,16.41023365
20,16.47862836,16.41023365,16.16799378
21,16.41023365,16.16799378,15.75422237
22,16.16799378,15.75422237,15.17973694
23,15.75422237,15.17973694,14.462772
24,15.17973694,14.462772,13.62717692
25,14.462772,13.62717692,12.70021459
26,13.62717692,12.70021459,11.71031098
27,12.70021459,11.71031098,10.68505475
28,11.71031098,10.68505475,9.649642597
29,10.68505475,9.649642597,8.62584889
30,9.649642597,8.62584889,7.631499446
31,8.62584889,7.631499446,6.680365877
32,7.631499446,6.680365877,5.782368748
33,6.680365877,5.782368748,4.943977743
34,5.782368748,4.943977743,4.168713475
35,4.943977743,4.168713475,3.457678843
36,4.168713475,3.457678843,2.810071172
37,3.457678843,2.810071172,2.22364612
38,2.810071172,2.22364612,1.695119237
39,2.22364612,1.695119237,1.220501275
40,1.695119237,1.220501275,0.795369731
41,1.220501275,0.795369731,0.415082597
42,0.795369731,0.415082597,0.074941812
43,0.415082597,0.074941812,-0.229685698
44,0.074941812,-0.229685698,-0.503281968
45,-0.229685698,-0.503281968,-0.750120199
46,-0.503281968,-0.750120199,-0.974229365
47,-0.750120199,-0.974229365,-1.179376293
48,-0.974229365,-1.179376293,-1.369061069
49,-1.179376293,-1.369061069,-1.546522394
50,-1.369061069,-1.546522394,-1.714750134
51,-1.546522394,-1.714750134,-1.87650285
52,-1.714750134,-1.87650285,-2.034328549
53,-1.87650285,-2.034328549,-2.19058726
54,-2.034328549,-2.19058726,-2.347474321
55,-2.19058726,-2.347474321,-2.507043514
56,-2.347474321,-2.507043514,-2.671229333
57,-2.507043514,-2.671229333,-2.841867825
58,-2.671229333,-2.841867825,-3.020715464
59,-2.841867825,-3.020715464,-3.209465627
60,-3.020715464,-3.209465627,-3.409762156
61,-3.209465627,-3.409762156,-3.6232095
62,-3.409762156,-3.6232095,-3.851378819
63,-3.6232095,-3.851378819,-4.095809326
64,-3.851378819,-4.095809326,-4.35800397
65,-4.095809326,-4.35800397,-4.639418403
66,-4.35800397,-4.639418403,-4.941441937
67,-4.639418403,-4.941441937,-5.265368998
68,-4.941441937,-5.265368998,-5.612359358
69,-5.265368998,-5.612359358,-5.98338526
70,-5.612359358,-5.98338526,-6.379163499
71,-5.98338526,-6.379163499,-6.800070599
72,-6.379163499,-6.800070599,-7.246039621
73,-6.800070599,-7.246039621,-7.716437911
74,-7.246039621,-7.716437911,-8.209926481
75,-7.716437911,-8.209926481,-8.724303763
76,-8.209926481,-8.724303763,-9.256339558
77,-8.724303763,-9.256339558,-9.801608922
78,-9.256339558,-9.801608922,-10.3543407
79,-9.801608922,-10.3543407,-10.90730088
80,-10.3543407,-10.90730088,-11.45173628
81,-10.90730088,-11.45173628,-11.97740799
82,-11.45173628,-11.97740799,-12.47274496
83,-11.97740799,-12.47274496,-12.92514383
84,-12.47274496,-12.92514383,-13.32143015
85,-12.92514383,-13.32143015,-13.64847772
86,-13.32143015,-13.64847772,-13.89395734
87,-13.64847772,-13.89395734,-14.04715841
88,-13.89395734,-14.04715841,-14.09980119
89,-14.04715841,-14.09980119,-14.04674257
90,-14.09980119,-14.04674257,-13.88647918
91,-14.04674257,-13.88647918,-13.62137234
92,-13.88647918,-13.62137234,-13.25755662
93,-13.62137234,-13.25755662,-12.80454046
